Game,Score
The Amazing Spider-Man,4.8
Peggle 2,9
Adventure Time: Explore the Dungeon Because I Don't Know!,3.5
Adventure Time: Explore the Dungeon Because I Don't Know!,3.5
Adventure Time: Explore the Dungeon Because I Don't Know!,3.5
Adventure Time: Explore the Dungeon Because I Don't Know!,3.5
Adventure Time: Explore the Dungeon Because I Don't Know!,3.5
Gran Turismo 6 ,8
The Guided Fate Paradox,7
The Raven: Legacy of a Master Thief Chapter III: A Murder of Ravens,6.5
The Raven: Legacy of a Master Thief Chapter III: A Murder of Ravens,6.5
The Raven: Legacy of a Master Thief Chapter III: A Murder of Ravens,6.5
The Raven: Legacy of a Master Thief Chapter III: A Murder of Ravens,6.5
The Raven: Legacy of a Master Thief Chapter III: A Murder of Ravens,6.5
Bravely Default,8.6
Warframe,7.5
Escape Plan,8
Flower,9
Tiny Brains,4.5
Tiny Brains,4.5
Tiny Brains,4.5
Redshirt,7.4
X Rebirth,4.3
DC Universe Online,8
FIFA 14,9.1
FIFA 14,9.1
FIFA 14,9.1
Baldur's Gate II -- Enhanced Edition,8.3
Device 6,9.5
Deadfall Adventures,4
Chivalry: Deadliest Warrior,8.1
Battlefield 4,8.5
Zoo Tycoon ,5.5
Fighter Within,2.7
Injustice: Gods Among Us -- Ultimate Edition,8.2
Injustice: Gods Among Us -- Ultimate Edition,8.2
Injustice: Gods Among Us -- Ultimate Edition,8.2
Mario Party: Island Tour,5.5
Super Motherload,6
Just Dance 2014,7.5
Ryse: Son of Rome,6.8
Wii Fit U,7.5
Need for Speed Rivals,8
Need for Speed Rivals,8
Need for Speed Rivals,8
SimCity: Cities of Tomorrow,7.5
Forza Motorsport 5,8.8
Tearaway,9.3
Xbox One,7.8
Battlefield 4,8.5
Super Mario 3D World,9.6
NBA Live 14,4.3
NBA Live 14,4.3
The Pinball Arcade,9
The Pinball Arcade,9
Dead Rising 3,8.3
Powerstar Golf,7
Crimson Dragon ,5.9
LocoCycle,6.4
Killer Instinct,8.4
Madden NFL 25,7.6
Madden NFL 25,7.6
The Legend of Zelda: A Link Between Worlds,9.4
PlayStation 4,8.2
Killzone: Shadow Fall,8
Knack,5.9
Resogun,9
Contrast,7.5
Contrast,7.5
Flower,9.5
Stick it to The Man,8.6
NBA 2K14,8.9
NBA 2K14,8.9
Regular Show: Mordecai and Rigby in 8-Bit Land,6.2
Ratchet &amp; Clank: Into the Nexus,8.2
Bioshock Infinite: Burial at Sea -- Episode One,7
Bioshock Infinite: Burial at Sea -- Episode One,7
Bioshock Infinite: Burial at Sea -- Episode One,7
Professor Layton and the Azran Legacy,8.5
XCOM: Enemy Within -- Commander Edition,9
XCOM: Enemy Within -- Commander Edition,9
XCOM: Enemy Within,9
Path of Exile ,8.8
Mario &amp; Sonic at the Sochi 2014 Olympic Winter Games,4.5
Rayman Fiesta Run,8.9
Call of Duty: Ghosts,8.8
Call of Duty: Ghosts,8.8
Call of Duty: Ghosts,8.8
Call of Duty: Ghosts,8.8
Call of Duty: Ghosts,8.8
Call of Duty: Ghosts,8.8
Hometown Story,5
SpongeBob SquarePants: Plankton's Robotic Revenge,3.5
Football Manager 2014,8
Football Manager 2014,8
Football Manager 2014,8
Nickelodeon's Teenage Mutant Ninja Turtles,5
Assassin's Creed IV: Black Flag,8.5
Assassin's Creed IV: Black Flag,8.5
Assassin's Creed IV: Black Flag,8.5
Assassin's Creed IV: Black Flag,8.5
Assassin's Creed IV: Black Flag,8.5
Assassin's Creed IV: Black Flag,8.5
Battlefield 4,8.5
Battlefield 4,8
Battlefield 4,8
WWE 2K14,8.7
WWE 2K14 ,8.7
Prime World,5.9
Batman: Arkham Origins Blackgate -- Deluxe Edition,7.4
Batman: Arkham Origins Blackgate -- Deluxe Edition,7.4
Batman: Arkham Origins Blackgate -- Deluxe Edition,7.4
Batman: Arkham Origins Blackgate,7.4
Batman: Arkham Origins Blackgate,7.4
Batman: Arkham Origins,7.8
Batman: Arkham Origins,7.8
Batman: Arkham Origins,7.8
Batman: Arkham Origins,7.8
Phoenix Wright: Ace Attorney -- Dual Destinies,7.2
How to Survive,5.4
How to Survive,5.4
Wii Party U,7.5
Sonic: Lost World,6.8
Rocksmith 2014,9
Rocksmith 2014 (No Cable Included -- For Rocksmith Owners),9
Rocksmith 2014,9
Rocksmith 2014,9
Rocksmith 2014 (No Cable Included -- For Rocksmith Owners),9
Rocksmith 2014,9
Borderlands 2: T.K. Baha's Bloody Harvest,7
LEGO Marvel Super Heroes,9
LEGO Marvel Super Heroes,9
LEGO Marvel Super Heroes ,9
LEGO Marvel Super Heroes,9
LEGO Marvel Super Heroes,9
LEGO Marvel Super Heroes,9
Deus Ex: Human Revolution -- Director's Cut,8.3
Rune Factory 4,8
The Stanley Parable,8.8
The Stanley Parable,8.8
Sonic: Lost World,5.8
Glare,7.1
Knock-Knock,6.2
140,8
Soundodger,7.3
Skylanders Swap Force,8.2
Skylanders Swap Force,8.2
Skylanders Swap Force,8.2
Skylanders Swap Force,8.2
Skylanders Swap Force,7.1
Legends of Aethereus,4.7
Marvel Puzzle Quest: Dark Reign,9.1
Just Dance 2014,7.9
Just Dance 2014,7.5
Just Dance 2014,7.7
Just Dance 2014,7.7
The Wolf Among Us: Episode 1 -- Faith,9
The Wolf Among Us: Episode 1 -- Faith ,9
The Wolf Among Us: Episode 1 -- Faith,9
The Wolf Among Us: Episode 1 -- Faith,9
Dead Man's Draw,6.2
Dragon's Prophet,5.1
Beyond: Two Souls,6
Lone Survivor (Director’s Cut),8.6
The Raven: Legacy of a Master Thief Chapter II: Ancestry of Lies,5.5
The Raven: Legacy of a Master Thief Chapter II: Ancestry of Lies,5.5
The Raven: Legacy of a Master Thief Chapter II: Ancestry of Lies,5.5
The Raven: Legacy of a Master Thief Chapter II: Ancestry of Lies,5.5
The Raven: Legacy of a Master Thief Chapter II: Ancestry of Lies,5.5
Pokemon Y,9
Pokemon X,9
F1 2013,8
F1 2013,8
F1 2013,8
Alien Rage,4.4
Dragon Fantasy Book II,3
Dragon Fantasy Book II,3
Shadow Warrior,8.6
Guardians of Middle-earth,7.9
Takedown: Red Sabre,4
Armored Core: Verdict Day,7.6
Rain,7
Disgaea D2: A Brighter Darkness ,9.1
MechWarrior Online,7.3
Carnivores: Dinosaur Hunter HD,4
Warhammer Quest,7.5
NBA 2K14,9.3
NBA 2K14,9.3
Scribblenauts Unmasked: A DC Comics Adventure,9.1
Scribblenauts Unmasked: A DC Comics Adventure,9.1
Scribblenauts Unmasked: A DC Comics Adventure,9.1
Etrian Odyssey Untold: The Millennium Girl,8.5
FIFA 14,9
FIFA 14,9
Narco Terror,6.5
Narco Terror,6.5
ArmA III,7
Pro Evolution Soccer 2014,8.4
Pro Evolution Soccer 2014,8.4
Pro Evolution Soccer 2014,8.4
Infinity Blade III,9.1
SteamWorld Dig,9.5
SteamWorld Dig,9.5
SteamWorld Dig,9.5
SteamWorld Dig,9.5
The Legend of Zelda: The Wind Waker HD (Nintendo eShop Edition),9.8
The Legend of Zelda: The Wind Waker HD,9.8
Grand Theft Auto V ,10
Grand Theft Auto V,10
Call of Duty: Strike Team,6
Final Fantasy XIV Online: A Realm Reborn,8.6
Final Fantasy XIV Online: A Realm Reborn,8.6
Final Fantasy XIV Online: A Realm Reborn,8.6
Kingdom Hearts HD 1.5 ReMIX,8.5
Amnesia: A Machine for Pigs,8.3
Diablo III,9
Diablo III,9
Total War: Rome II,8.8
NHL 14,8.3
NHL 14,8.3
Puppeteer,8.5
Divekick,7
Divekick,7
Divekick,7
Killzone: Mercenary,8
Outlast,7.8
Outlast,7.8
Castle of Illusion Starring Mickey Mouse,6.7
Castle of Illusion Starring Mickey Mouse,6.7
Teenage Mutant Ninja Turtles: Out of the Shadows,6.1
Space Hulk (2013),6.7
Guncraft,6.4
Killer is Dead ,5
Killer is Dead,5
Lost Planet 3,6.2
Lost Planet 3,6.2
Lost Planet 3,6.2
Teleglitch: Die More Edition,7.8
Teleglitch: Die More Edition,7.8
Teleglitch: Die More Edition,7.8
Rayman Legends,9.5
Rayman Legends,9.5
Rayman Legends,9.5
Rayman Legends,9.5
Rayman Legends,9.5
Rayman Legends,9.5
Madden NFL 25,8.5
Madden NFL 25,8.5
Flashback,5.8
Flashback,5.8
Flashback,5.8
Charlie Murder,7
The Bureau: XCOM Declassified,5.5
The Bureau: XCOM Declassified,5.5
The Bureau: XCOM Declassified,5.5
The Wonderful 101,7.4
Disney Infinity,8.7
Disney Infinity ,8.7
Disney Infinity,8.7
Disney Infinity,8.7
Disney Infinity,8.7
Gone Home,9.5
Gone Home,9.5
Gone Home,9.5
Europa Universalis IV,8.9
Tom Clancy's Splinter Cell: Blacklist,9.2
Tom Clancy's Splinter Cell: Blacklist,9.2
Tom Clancy's Splinter Cell: Blacklist,9.2
Tom Clancy's Splinter Cell: Blacklist,9.2
Saints Row IV,7.3
Saints Row IV,7.3
Saints Row IV,7.3
Dishonored: The Brigmore Witches,7.5
Dishonored: The Brigmore Witches,7.5
Dishonored: The Brigmore Witches,7.5
PayDay 2,8
PayDay 2,8
PayDay 2,8
"Papers, Please",8.7
DuckTales Remastered,7
DuckTales Remastered,7
DuckTales Remastered,7
Guacamelee! ,9.1
Ibb &amp; Obb,8.3
Divinity: Dragon Commander,7.8
Spelunky,9
Brothers: A Tale of Two Sons,8.2
